No,SRS Ref,FSD Ref,TSD Ref,No. Test Script,Nama Fungsional,URL / Endpoint,Parameter / Value,Ekspektasi,Hasil Aktual,Tgl Test,PIC,Screenshot Hasil,Pass / Failed
1,SRS-000,FSD-000,TSD-000,TS-BE-001,Health Check,GET /health,-,Status 200 response OK,Status 200 OK,10/06/2026,Tester Backend,Lihat lampiran,Pass
2,SRS-MON-001,FSD-MON-001,TSD-MON-001,TS-BE-002,Daftar Pasien,GET /api/v1/monitoring/pasien,Authorization: Bearer {token}; page=1; per_page=15,Status 200 paginated patient list,Status 200 data diterima,10/06/2026,Tester Backend,Lihat lampiran,Pass
3,SRS-MON-002,FSD-MON-002,TSD-MON-002,TS-BE-003,Detail Pasien,GET /api/v1/monitoring/pasien/{id},Authorization: Bearer {token}; id=1,Status 200 patient detail,Status 200 detail lengkap,10/06/2026,Tester Backend,Lihat lampiran,Pass
4,SRS-MON-003,FSD-MON-003,TSD-MON-003,TS-BE-004,Cari Pasien,GET /api/v1/monitoring/pasien/search,Authorization: Bearer {token}; q=nama_pasien,Status 200 search results,Status 200 hasil pencarian,10/06/2026,Tester Backend,Lihat lampiran,Pass
5,SRS-MON-004,FSD-MON-004,TSD-MON-004,TS-BE-005,Export Excel Pasien,GET /api/v1/monitoring/pasien/export,Authorization: Bearer {token}; filter params,Status 200 Excel file,Status 200 file diunduh,10/06/2026,Tester Backend,Lihat lampiran,Pass
6,SRS-MON-005,FSD-MON-005,TSD-MON-005,TS-BE-006,Summary Dashboard,GET /api/v1/monitoring/statistik,Authorization: Bearer {token},Status 200 statistics summary,Status 200 data statistik,10/06/2026,Tester Backend,Lihat lampiran,Pass
7,SRS-MON-006,FSD-MON-006,TSD-MON-006,TS-BE-007,Tren Pertumbuhan Bulanan,GET /api/v1/monitoring/statistik-bulanan,Authorization: Bearer {token}; tahun=2026,Status 200 monthly trends,Status 200 tren bulanan,10/06/2026,Tester Backend,Lihat lampiran,Pass
8,SRS-MON-007,FSD-MON-007,TSD-MON-007,TS-BE-008,Input Pemeriksaan,POST /api/v1/monitoring/pemeriksaan,Authorization: Bearer {token}; body: id_pasien berat_badan tinggi_badan dll,Status 201 pemeriksaan created,Status 201 data tersimpan,10/06/2026,Tester Backend,Lihat lampiran,Pass
9,SRS-MON-008,FSD-MON-008,TSD-MON-008,TS-BE-009,Detail Pemeriksaan,GET /api/v1/monitoring/pemeriksaan/{id},Authorization: Bearer {token}; id=1,Status 200 examination detail,Status 200 detail lengkap,10/06/2026,Tester Backend,Lihat lampiran,Pass
10,SRS-MON-009,FSD-MON-009,TSD-MON-009,TS-BE-010,Edit Pemeriksaan,PUT /api/v1/monitoring/pemeriksaan/{id},Authorization: Bearer {token}; id=1; body: updated data,Status 200 pemeriksaan updated,Status 200 data diperbarui,10/06/2026,Tester Backend,Lihat lampiran,Pass
11,SRS-MON-010,FSD-MON-010,TSD-MON-010,TS-BE-011,Hapus Pemeriksaan,DELETE /api/v1/monitoring/pemeriksaan/{id},Authorization: Bearer {token}; id=1,Status 200 pemeriksaan deleted,Status 200 data dihapus,10/06/2026,Tester Backend,Lihat lampiran,Pass
12,SRS-MON-011,FSD-MON-011,TSD-MON-011,TS-BE-012,Verifikasi Pemeriksaan,PATCH /api/v1/monitoring/pemeriksaan/{id}/verify,Authorization: Bearer {token}; id=1; body: catatan_verifikasi,Status 200 pemeriksaan verified,Status 200 terverifikasi,10/06/2026,Tester Backend,Lihat lampiran,Pass
13,SRS-MON-012,FSD-MON-012,TSD-MON-012,TS-BE-013,Pemeriksaan Belum Diverifikasi,GET /api/v1/monitoring/pemeriksaan/pending,Authorization: Bearer {token}; page=1; per_page=15,Status 200 pending examinations,Status 200 daftar pending,10/06/2026,Tester Backend,Lihat lampiran,Pass
14,SRS-IMU-001,FSD-IMU-001,TSD-IMU-001,TS-BE-014,Daftar Jadwal Imunisasi,GET /api/v1/imunisasi,Authorization: Bearer {token}; page=1; per_page=15,Status 200 immunization schedule list,Status 200 jadwal diterima,10/06/2026,Tester Backend,Lihat lampiran,Pass
15,SRS-IMU-002,FSD-IMU-002,TSD-IMU-002,TS-BE-015,Tambah Jadwal Imunisasi,POST /api/v1/imunisasi,Authorization: Bearer {token}; body: id_anak jenis_vaksin tanggal_jadwal,Status 201 schedule created,Status 201 jadwal ditambahkan,10/06/2026,Tester Backend,Lihat lampiran,Pass
16,SRS-IMU-003,FSD-IMU-003,TSD-IMU-003,TS-BE-016,Update Realisasi Vaksin,PATCH /api/v1/imunisasi/{id}/realisasi,Authorization: Bearer {token}; id=1; body: tanggal_realisasi catatan,Status 200 realization updated,Status 200 realisasi dicatat,10/06/2026,Tester Backend,Lihat lampiran,Pass
17,SRS-TL-001,FSD-TL-001,TSD-TL-001,TS-BE-017,Daftar Pasien Tindak Lanjut,GET /api/v1/tindak-lanjut/pasien,Authorization: Bearer {token}; page=1; per_page=15,Status 200 follow-up patient list,Status 200 daftar diterima,10/06/2026,Tester Backend,Lihat lampiran,Pass
18,SRS-TL-002,FSD-TL-002,TSD-TL-002,TS-BE-018,Detail Pasien Tindak Lanjut,GET /api/v1/tindak-lanjut/pasien/{id},Authorization: Bearer {token}; id=1,Status 200 patient detail with history,Status 200 detail lengkap,10/06/2026,Tester Backend,Lihat lampiran,Pass
19,SRS-TL-003,FSD-TL-003,TSD-TL-003,TS-BE-019,Membuat Tindak Lanjut,POST /api/v1/tindak-lanjut,Authorization: Bearer {token}; body: id_hasil_pemeriksaan jenis_tindak_lanjut,Status 201 follow-up created,Status 201 tindak lanjut dibuat,10/06/2026,Tester Backend,Lihat lampiran,Pass
20,SRS-TL-004,FSD-TL-004,TSD-TL-004,TS-BE-020,Update Status Rujukan,PATCH /api/v1/rujukan/{id}/status,Authorization: Bearer {token}; id=1; body: status_rujukan,Status 200 referral status updated,Status 200 status diperbarui,10/06/2026,Tester Backend,Lihat lampiran,Pass
21,SRS-TL-005,FSD-TL-005,TSD-TL-005,TS-BE-021,Detail Tindak Lanjut,GET /api/v1/tindak-lanjut/{id},Authorization: Bearer {token}; id=1,Status 200 follow-up detail,Status 200 detail diterima,10/06/2026,Tester Backend,Lihat lampiran,Pass
22,SRS-TL-006,FSD-TL-006,TSD-TL-006,TS-BE-022,Status Tindak Lanjut (Kader),GET /api/v1/tindak-lanjut/status,Authorization: Bearer {token}; page=1; per_page=15,Status 200 follow-up status list,Status 200 status diterima,10/06/2026,Tester Backend,Lihat lampiran,Pass
23,SRS-LAP-001,FSD-LAP-001,TSD-LAP-001,TS-BE-023,Laporan Tindak Lanjut,GET /api/v1/laporan/tindak-lanjut,Authorization: Bearer {token}; periode_awal periode_akhir,Status 200 follow-up report,Status 200 laporan diterima,10/06/2026,Tester Backend,Lihat lampiran,Pass
24,SRS-ART-001,FSD-ART-001,TSD-ART-001,TS-BE-024,Daftar Artikel,GET /api/v1/artikel,Authorization: Bearer {token}; page=1; per_page=15,Status 200 published article list,Status 200 artikel diterima,10/06/2026,Tester Backend,Lihat lampiran,Pass
25,SRS-ART-002,FSD-ART-002,TSD-ART-002,TS-BE-025,Detail Artikel,GET /api/v1/artikel/{id},Authorization: Bearer {token}; id=1,Status 200 article detail,Status 200 detail lengkap,10/06/2026,Tester Backend,Lihat lampiran,Pass
26,SRS-ART-003,FSD-ART-003,TSD-ART-003,TS-BE-026,Membuat Artikel,POST /api/v1/artikel,Authorization: Bearer {token_bidan}; body: judul isi_artikel kategori,Status 201 article created (Draft),Status 201 artikel dibuat,10/06/2026,Tester Backend,Lihat lampiran,Pass
27,SRS-ART-004,FSD-ART-004,TSD-ART-004,TS-BE-027,Update Artikel,PATCH /api/v1/artikel/{id},Authorization: Bearer {token_bidan}; id=1; body: updated data,Status 200 article updated,Status 200 artikel diperbarui,10/06/2026,Tester Backend,Lihat lampiran,Pass
28,SRS-ART-005,FSD-ART-005,TSD-ART-005,TS-BE-028,Review Artikel (Setujui),PATCH /api/v1/artikel/{id}/review,Authorization: Bearer {token_dinkes}; id=1; body: {aksi: setujui},Status 200 article approved & published,Status 200 artikel disetujui,10/06/2026,Tester Backend,Lihat lampiran,Pass
29,SRS-ART-006,FSD-ART-006,TSD-ART-006,TS-BE-029,Daftar Artikel Pending,GET /api/v1/artikel/pending,Authorization: Bearer {token_dinkes}; page=1; per_page=15,Status 200 pending article list,Status 200 artikel pending,10/06/2026,Tester Backend,Lihat lampiran,Pass
