id_artikel,judul,isi_artikel,kategori,status_artikel,id_penulis,id_verifikator,tanggal_publish,created_at,updated_at
1,Deteksi Dini TBC pada Anak,"Pengobatan TBC anak harus tuntas minimal 6 bulan dengan kombinasi obat OAT (Obat Anti Tuberkulosis). Putus obat dapat menyebabkan resistensi dan kambuh. Orang tua harus memastikan anak minum obat secara teratur.

Tuberkulosis (TBC) pada anak dapat dicegah dengan vaksin BCG yang diberikan segera setelah lahir. Gejala TBC anak: batuk lebih dari 3 minggu, berat badan tidak naik, demam berkepanjangan, keringat malam tanpa aktivitas berat.

Kontak erat dengan penderita TBC dewasa meningkatkan risiko penularan pada anak. Lingkungan rumah dengan ventilasi dan sinar matahari cukup membantu mencegah penularan. Segera periksa jika ada kontak dengan penderita TBC.",Penyakit,Draft,237374,,,2025-11-21 16:01:12,2025-11-21 16:01:12
2,Pentingnya Buku KIA,"Imunisasi adalah upaya pemberian vaksin untuk membentuk kekebalan tubuh terhadap penyakit tertentu. Di Indonesia, program imunisasi dasar lengkap meliputi HB-0, BCG, Polio, DPT-HB-Hib, dan MR. Imunisasi sangat penting untuk mencegah penyakit berbahaya seperti campak, polio, dan tuberkulosis. Pastikan anak Anda mendapatkan imunisasi sesuai jadwal yang telah ditentukan.

Jadwal imunisasi yang teratur akan melindungi anak dari berbagai penyakit infeksi. Kekebalan kelompok (herd immunity) tercapai jika minimal 95% anak telah diimunisasi. Oleh karena itu, partisipasi aktif orang tua sangat diperlukan. Jangan ragu untuk berkonsultasi dengan bidan atau dokter anak tentang jadwal imunisasi.

Efek samping imunisasi umumnya ringan seperti demam ringan atau bengkak di bekas suntikan. Hal ini normal dan akan hilang dalam 1-2 hari. Berikan ASI lebih sering atau kompres hangat untuk mengurangi rasa tidak nyaman. Segera hubungi tenaga kesehatan jika terjadi reaksi berat.",Kehamilan,Ditolak,201677,229645,,2025-10-05 04:24:13,2025-10-05 04:24:13
3,Deteksi Dini TBC pada Anak,"Tuberkulosis (TBC) pada anak dapat dicegah dengan vaksin BCG yang diberikan segera setelah lahir. Gejala TBC anak: batuk lebih dari 3 minggu, berat badan tidak naik, demam berkepanjangan, keringat malam tanpa aktivitas berat.

Pengobatan TBC anak harus tuntas minimal 6 bulan dengan kombinasi obat OAT (Obat Anti Tuberkulosis). Putus obat dapat menyebabkan resistensi dan kambuh. Orang tua harus memastikan anak minum obat secara teratur.

Kontak erat dengan penderita TBC dewasa meningkatkan risiko penularan pada anak. Lingkungan rumah dengan ventilasi dan sinar matahari cukup membantu mencegah penularan. Segera periksa jika ada kontak dengan penderita TBC.",Imunisasi,Draft,208688,,,2026-01-10 21:20:23,2026-01-10 21:20:23
4,Pencegahan Diare pada Anak,"Jika anak diare, berikan oralit untuk mencegah dehidrasi. Teruskan ASI atau makanan lunak. Jangan memberikan obat diare tanpa resep dokter. Segera bawa ke fasilitas kesehatan jika diare disertai darah, muntah terus, atau sangat lemas.

Menjaga sanitasi lingkungan dan kebersihan makanan adalah kunci mencegah diare. Zinc dapat diberikan selama 10 hari berturut-turut untuk memperpendek durasi diare. Pastikan selalu tersedia air bersih di rumah.

Diare adalah buang air besar encer lebih dari 3 kali sehari. Penyebab diare antara lain infeksi virus, bakteri, atau parasit, juga bisa karena alergi makanan. Pencegahan diare: cuci tangan pakai sabun, konsumsi air bersih, dan imunisasi rotavirus.",Imunisasi,Diarsipkan,242447,,,2025-10-27 11:22:16,2025-10-27 11:22:16
5,Pencegahan Diare pada Anak,"Diare adalah buang air besar encer lebih dari 3 kali sehari. Penyebab diare antara lain infeksi virus, bakteri, atau parasit, juga bisa karena alergi makanan. Pencegahan diare: cuci tangan pakai sabun, konsumsi air bersih, dan imunisasi rotavirus.

Jika anak diare, berikan oralit untuk mencegah dehidrasi. Teruskan ASI atau makanan lunak. Jangan memberikan obat diare tanpa resep dokter. Segera bawa ke fasilitas kesehatan jika diare disertai darah, muntah terus, atau sangat lemas.

Menjaga sanitasi lingkungan dan kebersihan makanan adalah kunci mencegah diare. Zinc dapat diberikan selama 10 hari berturut-turut untuk memperpendek durasi diare. Pastikan selalu tersedia air bersih di rumah.",Tumbuh Kembang,Menunggu Verifikasi,226249,,,2025-12-04 15:07:22,2025-12-04 15:07:22
6,Vaksin MR dan Polio,"Kekebalan kelompok hanya tercapai jika cakupan imunisasi tinggi. Mari dukung program imunisasi nasional dengan membawa anak ke posyandu atau puskesmas terdekat. Imunisasi aman, efektif, dan gratis.

Vaksin MR melindungi dari campak (measles) dan rubella yang dapat menyebabkan kecacatan bawaan. Vaksin polio mencegah kelumpuhan akibat virus polio yang menyerang sistem saraf. Vaksin BCG diberikan untuk mencegah tuberkulosis berat pada anak.

Vaksin DPT-HB-Hib melindungi dari difteri, pertusis, tetanus, hepatitis B, dan Hib. Pastikan anak mendapatkan imunisasi lengkap sesuai jadwal untuk kekebalan optimal. Imunisasi merupakan hak anak dan kewajiban orang tua untuk melindungi generasi masa depan.",Kehamilan,Dipublikasikan,212189,223459,2025-08-28,2025-08-25 22:11:25,2025-08-25 22:11:25
7,Pencegahan Diare pada Anak,"Jika anak diare, berikan oralit untuk mencegah dehidrasi. Teruskan ASI atau makanan lunak. Jangan memberikan obat diare tanpa resep dokter. Segera bawa ke fasilitas kesehatan jika diare disertai darah, muntah terus, atau sangat lemas.

Menjaga sanitasi lingkungan dan kebersihan makanan adalah kunci mencegah diare. Zinc dapat diberikan selama 10 hari berturut-turut untuk memperpendek durasi diare. Pastikan selalu tersedia air bersih di rumah.

Diare adalah buang air besar encer lebih dari 3 kali sehari. Penyebab diare antara lain infeksi virus, bakteri, atau parasit, juga bisa karena alergi makanan. Pencegahan diare: cuci tangan pakai sabun, konsumsi air bersih, dan imunisasi rotavirus.",Kehamilan,Dipublikasikan,236763,206135,2026-03-15,2026-03-10 09:32:18,2026-03-10 09:32:18
8,Pemberian ASI Eksklusif,"Jika ibu bekerja, ASI dapat diperah dan disimpan dalam wadah bersih. ASI perah dapat bertahan 6-8 jam pada suhu ruang, 3-5 hari di kulkas, dan 6 bulan di freezer. Berikan ASI dengan sendok atau cangkir, bukan dot, untuk mencegah bingung puting.

Ibu menyusui perlu makan bergizi, istirahat cukup, dan menghindari stres. Dukungan keluarga sangat penting untuk keberhasilan ASI eksklusif. Bayi yang diberi ASI eksklusif memiliki sistem kekebalan lebih baik dan risiko kematian lebih rendah.

ASI eksklusif diberikan selama 6 bulan pertama tanpa cairan atau makanan pendamping. ASI mengandung antibodi, enzim, dan hormon yang melindungi bayi dari infeksi dan alergi. Inisiasi Menyusu Dini (IMD) dilakukan segera setelah bayi lahir untuk meningkatkan produksi ASI.",Penyakit,Dipublikasikan,203308,223459,2026-03-24,2026-05-28 21:37:01,2026-05-28 21:37:01
9,Jadwal Imunisasi Lengkap,"Jadwal imunisasi yang teratur akan melindungi anak dari berbagai penyakit infeksi. Kekebalan kelompok (herd immunity) tercapai jika minimal 95% anak telah diimunisasi. Oleh karena itu, partisipasi aktif orang tua sangat diperlukan. Jangan ragu untuk berkonsultasi dengan bidan atau dokter anak tentang jadwal imunisasi.

Imunisasi adalah upaya pemberian vaksin untuk membentuk kekebalan tubuh terhadap penyakit tertentu. Di Indonesia, program imunisasi dasar lengkap meliputi HB-0, BCG, Polio, DPT-HB-Hib, dan MR. Imunisasi sangat penting untuk mencegah penyakit berbahaya seperti campak, polio, dan tuberkulosis. Pastikan anak Anda mendapatkan imunisasi sesuai jadwal yang telah ditentukan.

Efek samping imunisasi umumnya ringan seperti demam ringan atau bengkak di bekas suntikan. Hal ini normal dan akan hilang dalam 1-2 hari. Berikan ASI lebih sering atau kompres hangat untuk mengurangi rasa tidak nyaman. Segera hubungi tenaga kesehatan jika terjadi reaksi berat.",Imunisasi,Draft,240994,,,2025-06-27 17:02:39,2025-06-27 17:02:39
10,Vaksin MR dan Polio,"Vaksin MR melindungi dari campak (measles) dan rubella yang dapat menyebabkan kecacatan bawaan. Vaksin polio mencegah kelumpuhan akibat virus polio yang menyerang sistem saraf. Vaksin BCG diberikan untuk mencegah tuberkulosis berat pada anak.

Kekebalan kelompok hanya tercapai jika cakupan imunisasi tinggi. Mari dukung program imunisasi nasional dengan membawa anak ke posyandu atau puskesmas terdekat. Imunisasi aman, efektif, dan gratis.

Vaksin DPT-HB-Hib melindungi dari difteri, pertusis, tetanus, hepatitis B, dan Hib. Pastikan anak mendapatkan imunisasi lengkap sesuai jadwal untuk kekebalan optimal. Imunisasi merupakan hak anak dan kewajiban orang tua untuk melindungi generasi masa depan.",Penyakit,Menunggu Verifikasi,215259,,,2025-12-28 14:56:18,2025-12-28 14:56:18
